1;1;0;0
1;10;0;0
1;10;44;0
1;10;45;0
1;10;46;0
1;11;0;0
1;11;47;0
1;11;48;0
1;11;49;0
1;12;0;0
1;1;21;0
1;1;22;0
1;1;23;0
1;12;50;0
1;12;51;0
1;13;0;0
1;13;52;0
1;13;53;0
1;13;54;0
1;14;0;0
1;14;55;0
1;14;56;0
1;15;0;0
1;15;57;0
1;15;58;0
1;2;0;0
1;2;24;0
1;2;25;0
1;2;26;0
1;3;0;0
1;3;27;0
1;3;28;0
1;3;29;0
1;3;30;0
1;4;0;0
1;4;31;0
1;4;32;0
1;5;0;0
1;5;33;0
1;5;34;0
1;6;0;0
1;6;0;0
1;6;0;0
1;6;35;0
1;6;36;0
1;7;0;0
1;7;37;0
1;7;38;0
1;8;0;0
1;8;0;0
1;8;39;0
1;8;40;0
1;9;0;0
1;9;0;0
1;9;41;0
1;9;42;0
1;9;43;0
2;16;0;0
2;16;59;0
2;16;60;0
